Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;Type d'environnement;Laboratoire
1;3.91611;43.58528;03° 54' 58.00'' Est, 43° 35' 07.00'' Nord;34129;Mas de Gau;;34970;LATTES;06/12/2001;;FicheMesure175.pdf;Oui;4.01;Divers;SATELIT
2;4.04194;43.64694;04° 02' 31.00'' Est, 43° 38' 49.00'' Nord;34176;5539 Rue Lou Claou de la Oulivettas;;34130;MUDAISON;06/12/2001;;FicheMesure180.pdf;Oui;20.1;Divers;SATELIT
3;3.03167;43.36028;03° 01' 54.00'' Est, 43° 21' 37.00'' Nord;34225;Chemin de Montfaucon;résidence de  Mme SOUTADE;34620;PUISSERGUIER;23/05/2002;;FicheMesure543.pdf;Oui;3.9;Divers;APAVE
4;3.03278;43.36167;03° 01' 58.00'' Est, 43° 21' 42.00'' Nord;34225;Chemin de Quarante;résidence de  M. GONZALEZ;34620;PUISSERGUIER;23/05/2002;;FicheMesure545.pdf;Oui;2.3;Divers;APAVE
5;3.56444;43.64583;03° 33' 52.00'' Est, 43° 38' 45.00'' Nord;34114;480 Chemin de Pioch Courbi;Chez Mme et M. GALOIS;34150;GIGNAC;10/10/2002;;FicheMesure850.pdf;Oui;5.9;Rue / Route / Parking;APAVE
6;3.56306;43.64806;03° 33' 47.00'' Est, 43° 38' 53.00'' Nord;34114;Vieux chemin;Chez Mme et M. HERMITTE.;34150;GIGNAC;10/10/2002;;FicheMesure851.pdf;Oui;10.02;Rue / Route / Parking;APAVE
7;3.56306;43.64694;03° 33' 47.00'' Est, 43° 38' 49.00'' Nord;34114;401 Chemin de Pioch Courbi;Chez Mme et M. EON.;34150;GIGNAC;10/10/2002;;FicheMesure852.pdf;Oui;6.5;Rue / Route / Parking;APAVE
8;3.91611;43.58500;03° 54' 58.00'' Est, 43° 35' 06.00'' Nord;34129;Château d'eau de Boirargues;Au pied du château d'eau.;34970;LATTES;22/01/2003;;FicheMesure1072.pdf;Oui;7.1;Rue / Route / Parking;CSTB - Saint Martin d'Heres
9;3.91667;43.58667;03° 55' 00.00'' Est, 43° 35' 12.00'' Nord;34129;Avenue de la Mer - Garage Tunning XXS;Au début du chemin donnant sur le château d'eau par la route de Carnon.;34970;LATTES;22/01/2003;;FicheMesure1073.pdf;Oui;4.06;Rue / Route / Parking;
10;3.87806;43.60556;03° 52' 41.00'' Est, 43° 36' 20.00'' Nord;34172;16 Rue Durand;Sur le trottoir devant l'entrée du centre de formation cosmétique.;34000;MONTPELLIER;16/08/2006;;FicheMesure9169.pdf;Oui;6.2;;
